
Álbuns;Musicas;Streams;Ontem
My World;Bigger;22071829;6557
My World;Common Denominator  iTunes Bonus;17280927;4894
My World;Down To Earth;43971064;14635
My World;Favorite Girl;115914024;11053
My World;First Dance;23255646;7182
My World;Love Me;143938770;93318
My World;One Less Lonely Girl;155388241;84197
My World;One Less Lonely Girl  French Vocal;566483;190
My World;One Time;208282167;127822
My Worlds;Baby;629821561;516874
My Worlds;Eenie Meenie;414642337;259071
My Worlds;Never Let You Go;48864611;21828
My Worlds;Overboard;68924773;2259
My Worlds;Runaway Love;26527037;9032
My Worlds;Somebody To Love;209899769;123977
My Worlds;Stuck In The Moment;73219529;36685
My Worlds;That Should Be Me;149577186;94171
My Worlds;U Smile;90122329;31005
My Worlds;Up;50395348;11769
Never Say Never  The Remixes;Born To Be Somebody;21001036;2506
Never Say Never  The Remixes;Never Say Never;218837135;141235
Never Say Never  The Remixes;Overboard Live;3322099;3608
Never Say Never  The Remixes;Runaway Love  Kanye West Remix;7814229;1397
Never Say Never  The Remixes;That Should Be Me;49596435;12613
Under The Mistletoe;All I Want For Christmas Is You SuperFestive! Duet with Mariah Carey;92230079;359
Under The Mistletoe;All I Want Is You;27464991;1281
Under The Mistletoe;Christmas Eve;46386358;1587
Under The Mistletoe;Christmas Love;65813262;2615
Under The Mistletoe;Drummer Boy;46339383;2661
Under The Mistletoe;Fa La La;37051180;3167
Under The Mistletoe;Fa La La  A Cappella;12933940;635
Under The Mistletoe;Home This Christmas;18892612;735
Under The Mistletoe;Mistletoe;622891691;60466
Under The Mistletoe;Only Thing I Ever Get For Christmas;27368493;1229
Under The Mistletoe;Pray;44175377;582
Under The Mistletoe;Santa Claus Is Coming To Town;56560160;2074
Under The Mistletoe;Silent Night;20098750;719
Under The Mistletoe;Someday At Christmas;16190155;510
Under The Mistletoe;The Christmas Song Chestnuts Roasting On An Open Fire;100667074;2173
Believe;All Around The World;120438716;289
Believe;As Long As You Love Me;330655444;136465
Believe;Be Alright;82701576;18147
Believe;Beauty And A Beat;444595467;340746
Believe;Believe;36127540;74
Believe;Boyfriend;396004967;240213
Believe;Catching Feelings;32624350;7779
Believe;Die In Your Arms;64558351;16504
